# df_oferta
nombre_J	ubicacionesJ_x	ubicacionesJ_y
j01	10	10
j02	12	12
j03	8	12
j04	10	8
j05	11	14
j06	14	12
j07	6	14
j08	6	12
j09	8	6
j10	12	6
j11	6	6
j12	6	4
j13	14	6
j14	14	4
j15	14	10
j16	6	8


# df_capac
nombre_J	servicio_K	s_jk	s_jk_10	s_jk_5	sigma_jk	c_jk	s_jk*c_jk	nombre_Jservicio_K
j05	k06	0	0	0	0	1	0	j05k06
j05	k07	0	0	0	0	1	0	j05k07
j05	k08	0	0	0	0	1	0	j05k08
j05	k09	0	0	0	0	1	0	j05k09
j05	k10	0	0	0	0	1	0	j05k10
j06	k01	15	15	15	12	1	15	j06k01
j06	k02	40	15	40	40	1	40	j06k02
j06	k03	0	0	0	0	1	0	j06k03
j06	k04	0	0	0	0	1	0	j06k04
j06	k05	0	0	0	0	1	0	j06k05
j06	k06	0	0	0	0	1	0	j06k06
j06	k07	0	0	0	0	1	0	j06k07
j06	k08	0	0	0	0	1	0	j06k08
j06	k09	0	0	0	0	1	0	j06k09
j06	k10	0	0	0	0	1	0	j06k10
j07	k01	15	15	15	12	1	15	j07k01
j07	k02	15	15	15	15	1	15	j07k02
j07	k03	0	0	0	0	1	0	j07k03
j07	k04	0	0	0	0	1	0	j07k04
j07	k05	0	0	0	0	1	0	j07k05
j07	k06	0	0	0	0	1	0	j07k06
j07	k07	0	0	0	0	1	0	j07k07
j07	k08	0	0	0	0	1	0	j07k08
j07	k09	0	0	0	0	1	0	j07k09
j07	k10	0	0	0	0	1	0	j07k10
j08	k01	15	15	15	12	1	15	j08k01
j08	k02	0	0	0	0	1	0	j08k02
j08	k03	0	0	0	0	1	0	j08k03
j08	k04	0	0	0	0	1	0	j08k04
j08	k05	0	0	0	0	1	0	j08k05
j08	k06	0	0	0	0	1	0	j08k06
j08	k07	0	0	0	0	1	0	j08k07
j08	k08	0	0	0	0	1	0	j08k08
j08	k09	0	0	0	0	1	0	j08k09
j08	k10	0	0	0	0	1	0	j08k10
j09	k01	15	15	15	12	1	15	j09k01
j09	k02	0	0	0	0	1	0	j09k02
j09	k03	0	0	0	0	1	0	j09k03
j09	k04	0	0	0	0	1	0	j09k04
j09	k05	0	0	0	0	1	0	j09k05
j09	k06	0	0	0	0	1	0	j09k06
j09	k07	0	0	0	0	1	0	j09k07
j09	k08	0	0	0	0	1	0	j09k08
j09	k09	0	0	0	0	1	0	j09k09
j09	k10	0	0	0	0	1	0	j09k10
j10	k01	15	15	15	12	1	15	j10k01
j10	k02	0	0	0	0	1	0	j10k02
j10	k03	0	0	0	0	1	0	j10k03
j10	k04	0	0	0	0	1	0	j10k04
j10	k05	0	0	0	0	1	0	j10k05
j10	k06	0	0	0	0	1	0	j10k06
j10	k07	0	0	0	0	1	0	j10k07
j10	k08	0	0	0	0	1	0	j10k08
j10	k09	0	0	0	0	1	0	j10k09
j10	k10	0	0	0	0	1	0	j10k10
j11	k01	15	15	15	12	1	15	j11k01
j11	k02	0	0	0	0	1	0	j11k02
j11	k03	0	0	0	0	1	0	j11k03
j11	k04	0	0	0	0	1	0	j11k04
j11	k05	0	0	0	0	1	0	j11k05
j11	k06	0	0	0	0	1	0	j11k06
j11	k07	0	0	0	0	1	0	j11k07
j11	k08	0	0	0	0	1	0	j11k08
j11	k09	0	0	0	0	1	0	j11k09
j11	k10	0	0	0	0	1	0	j11k10
j12	k01	15	15	15	12	1	15	j12k01
j12	k02	0	0	0	0	1	0	j12k02
j12	k03	0	0	0	0	1	0	j12k03
j12	k04	0	0	0	0	1	0	j12k04
j12	k05	0	0	0	0	1	0	j12k05
j12	k06	0	0	0	0	1	0	j12k06
j12	k07	0	0	0	0	1	0	j12k07
j12	k08	0	0	0	0	1	0	j12k08
j12	k09	0	0	0	0	1	0	j12k09
j12	k10	0	0	0	0	1	0	j12k10
j13	k01	15	15	15	12	1	15	j13k01
j13	k02	0	0	0	0	1	0	j13k02
j13	k03	0	0	0	0	1	0	j13k03
j13	k04	0	0	0	0	1	0	j13k04
j13	k05	0	0	0	0	1	0	j13k05
j13	k06	0	0	0	0	1	0	j13k06
j13	k07	0	0	0	0	1	0	j13k07
j13	k08	0	0	0	0	1	0	j13k08
j13	k09	0	0	0	0	1	0	j13k09
j13	k10	0	0	0	0	1	0	j13k10
j14	k01	15	15	15	12	1	15	j14k01
j14	k02	0	0	0	0	1	0	j14k02
j14	k03	0	0	0	0	1	0	j14k03
j14	k04	0	0	0	0	1	0	j14k04
j14	k05	0	0	0	0	1	0	j14k05
j14	k06	0	0	0	0	1	0	j14k06
j14	k07	0	0	0	0	1	0	j14k07
j14	k08	0	0	0	0	1	0	j14k08
j14	k09	0	0	0	0	1	0	j14k09
j14	k10	0	0	0	0	1	0	j14k10
j15	k01	15	15	15	12	1	15	j15k01
j15	k02	0	0	0	0	1	0	j15k02
j15	k03	0	0	0	0	1	0	j15k03
j15	k04	0	0	0	0	1	0	j15k04
j15	k05	0	0	0	0	1	0	j15k05
j15	k06	0	0	0	0	1	0	j15k06
j15	k07	0	0	0	0	1	0	j15k07
j15	k08	0	0	0	0	1	0	j15k08
j15	k09	0	0	0	0	1	0	j15k09
j15	k10	0	0	0	0	1	0	j15k10
j16	k01	15	15	15	12	1	15	j16k01
j16	k02	0	0	0	0	1	0	j16k02
j16	k03	0	0	0	0	1	0	j16k03
j16	k04	0	0	0	0	1	0	j16k04
j16	k05	0	0	0	0	1	0	j16k05
j16	k06	0	0	0	0	1	0	j16k06
j16	k07	0	0	0	0	1	0	j16k07
j16	k08	0	0	0	0	1	0	j16k08
j16	k09	0	0	0	0	1	0	j16k09
j16	k10	0	0	0	0	1	0	j16k10


# df_niveles
servicio_K	Servicio	sigma_max	d_o_k
k01	Consulta general diagnóstico	150	6
k02	Mamografía y ecografía	250	6
k03	Consulta especializada	180	6
k04	Biopsia diagnóstico	180	7
k05	Patología diagnóstico	180	7
k06	Quimioterapia	150	7
k07	Radioterapia	150	7
k08	Hormonal	150	7
k09	Cirugía	100	7
k10	Cuidados paliativos	100	7


# df_demanda
nombre_I	servicio_K	ubicacionesI_x	ubicacionesI_y	demanda_i
i01	k01	10	10	15
i02	k01	12	12	15
i03	k01	8	12	15
i04	k01	10	8	15
i05	k01	11	14	7
i06	k01	14	12	7
i07	k01	6	14	7
i08	k01	6	12	3
i09	k01	8	6	3
i10	k01	12	6	3
i11	k01	8	10	3
i12	k01	12	10	3
i13	k01	10	14	3
i14	k01	16	14	3
i15	k01	10	4	3
i16	k01	4	14	3


# df_sigma_max
servicio_K	sigma_max	sigma_max_k10	sigma_max_k5	congest_min	suma_sjk
k01	300	350	300	0.5	460
k02	250	230	250	0.5	275
k03	180	300	180	0.5	220
k04	180	250	180	0.5	280
k05	180	250	180	0.5	240
k06	150	250	150	0.5	280
k07	150	250	150	0.5	260
k08	150	250	150	0.5	280
k09	150	200	150	0.5	240
k10	150	200	150	0.5	200


# df_dist_ij_k
nombre_I	nombre_J	servicio_K	enlace_ij	f_dij	f_dij_old	dist_ij	d_o_k
i01	j01	k01	i01j01	1.0	1.0	0	6
i01	j01	k02	i01j01	1.0	1.0	0	6
i01	j01	k03	i01j01	1.0	1.0	0	6
i01	j01	k04	i01j01	1.0	1.0	0	7
i01	j01	k05	i01j01	1.0	1.0	0	7
i01	j01	k06	i01j01	1.0	1.0	0	7
i01	j01	k07	i01j01	1.0	1.0	0	7
i01	j01	k08	i01j01	1.0	1.0	0	7
i01	j01	k09	i01j01	1.0	1.0	0	7
i01	j01	k10	i01j01	1.0	1.0	0	7
i01	j02	k01	i01j02	0.9649454688235423	0.7013665732390044	1	6
i01	j02	k02	i01j02	0.9649454688235423	0.8626563100093985	1	6
i01	j02	k03	i01j02	0.9649454688235423	0.8626563100093985	1	6
i01	j02	k04	i01j02	0.9741982523623018	0.9218064474828315	1	7
i01	j02	k05	i01j02	0.9741982523623018	0.9218064474828315	1	7
i01	j02	k06	i01j02	0.9741982523623018	0.8626563100093985	1	7
i01	j02	k07	i01j02	0.9741982523623018	0.8626563100093985	1	7
i01	j02	k08	i01j02	0.9741982523623018	0.8626563100093985	1	7
i01	j02	k09	i01j02	0.9741982523623018	0.9218064474828315	1	7
i01	j02	k10	i01j02	0.9741982523623018	0.8626563100093985	1	7
i01	j03	k01	i01j03	0.8626563100093985	0.7013665732390044	2	6
i01	j03	k02	i01j03	0.8626563100093985	0.8626563100093985	2	6
i01	j03	k03	i01j03	0.8626563100093985	0.8626563100093985	2	6
i01	j03	k04	i01j03	0.8983540656933711	0.9218064474828315	2	7
i01	j03	k05	i01j03	0.8983540656933711	0.9218064474828315	2	7
i01	j03	k06	i01j03	0.8983540656933711	0.8626563100093985	2	7
i01	j03	k07	i01j03	0.8983540656933711	0.8626563100093985	2	7
i01	j03	k08	i01j03	0.8983540656933711	0.8626563100093985	2	7
i01	j03	k09	i01j03	0.8983540656933711	0.9218064474828315	2	7
i01	j03	k10	i01j03	0.8983540656933711	0.8626563100093985	2	7
i01	j04	k01	i01j04	0.7013665732390044	0.7013665732390044	3	6
i01	j04	k02	i01j04	0.7013665732390044	0.8626563100093985	3	6
i01	j04	k03	i01j04	0.7013665732390044	0.8626563100093985	3	6
i01	j04	k04	i01j04	0.7769942554930191	0.9218064474828315	3	7
i01	j04	k05	i01j04	0.7769942554930191	0.9218064474828315	3	7
i01	j04	k06	i01j04	0.7769942554930191	0.8626563100093985	3	7
i01	j04	k07	i01j04	0.7769942554930191	0.8626563100093985	3	7
i01	j04	k08	i01j04	0.7769942554930191	0.8626563100093985	3	7
i01	j04	k09	i01j04	0.7769942554930191	0.9218064474828315	3	7
i01	j04	k10	i01j04	0.7769942554930191	0.8626563100093985	3	7
i01	j05	k01	i01j05	0.4935752886421534	0.001	4	6
i01	j05	k02	i01j05	0.4935752886421534	0.4935752886421534	4	6
i01	j05	k03	i01j05	0.4935752886421534	0.4935752886421534	4	6
i01	j05	k04	i01j05	0.6171641141806035	0.7013665732390044	4	7
i01	j05	k05	i01j05	0.6171641141806035	0.7013665732390044	4	7
i01	j05	k06	i01j05	0.6171641141806035	0.4935752886421534	4	7
i01	j05	k07	i01j05	0.6171641141806035	0.4935752886421534	4	7
i01	j05	k08	i01j05	0.6171641141806035	0.4935752886421534	4	7
i01	j05	k09	i01j05	0.6171641141806035	0.7013665732390044	4	7
i01	j05	k10	i01j05	0.6171641141806035	0.4935752886421534	4	7
i01	j06	k01	i01j06	0.2544483340734067	0.001	5	6
i01	j06	k02	i01j06	0.2544483340734067	0.4935752886421534	5	6
i01	j06	k03	i01j06	0.2544483340734067	0.4935752886421534	5	6
i01	j06	k04	i01j06	0.4277506578980072	0.7013665732390044	5	7
i01	j06	k05	i01j06	0.4277506578980072	0.7013665732390044	5	7
i01	j06	k06	i01j06	0.4277506578980072	0.4935752886421534	5	7
i01	j06	k07	i01j06	0.4277506578980072	0.4935752886421534	5	7
i01	j06	k08	i01j06	0.4277506578980072	0.4935752886421534	5	7
i01	j06	k09	i01j06	0.4277506578980072	0.7013665732390044	5	7
i01	j06	k10	i01j06	0.4277506578980072	0.4935752886421534	5	7
i01	j07	k01	i01j07	0.0	0.001	6	6
i01	j07	k02	i01j07	0.0	0.4935752886421534	6	6
i01	j07	k03	i01j07	0.0	0.4935752886421534	6	6
i01	j07	k04	i01j07	0.21866675667722127	0.7013665732390044	6	7
i01	j07	k05	i01j07	0.21866675667722127	0.7013665732390044	6	7
i01	j07	k06	i01j07	0.21866675667722127	0.4935752886421534	6	7
i01	j07	k07	i01j07	0.21866675667722127	0.4935752886421534	6	7
i01	j07	k08	i01j07	0.21866675667722127	0.4935752886421534	6	7
i01	j07	k09	i01j07	0.21866675667722127	0.7013665732390044	6	7
i01	j07	k10	i01j07	0.21866675667722127	0.4935752886421534	6	7
i01	j08	k01	i01j08	0.0	0.001	6	6
i01	j08	k02	i01j08	0.0	0.4935752886421534	6	6
i01	j08	k03	i01j08	0.0	0.4935752886421534	6	6
i01	j08	k04	i01j08	0.21866675667722127	0.7013665732390044	6	7
i01	j08	k05	i01j08	0.21866675667722127	0.7013665732390044	6	7
i01	j08	k06	i01j08	0.21866675667722127	0.4935752886421534	6	7
i01	j08	k07	i01j08	0.21866675667722127	0.4935752886421534	6	7
i01	j08	k08	i01j08	0.21866675667722127	0.4935752886421534	6	7
i01	j08	k09	i01j08	0.21866675667722127	0.7013665732390044	6	7
i01	j08	k10	i01j08	0.21866675667722127	0.4935752886421534	6	7
i01	j09	k01	i01j09	0.0	0.001	6	6
i01	j09	k02	i01j09	0.0	0.4935752886421534	6	6
i01	j09	k03	i01j09	0.0	0.4935752886421534	6	6
i01	j09	k04	i01j09	0.21866675667722127	0.7013665732390044	6	7
i01	j09	k05	i01j09	0.21866675667722127	0.7013665732390044	6	7
i01	j09	k06	i01j09	0.21866675667722127	0.4935752886421534	6	7
i01	j09	k07	i01j09	0.21866675667722127	0.4935752886421534	6	7
i01	j09	k08	i01j09	0.21866675667722127	0.4935752886421534	6	7
i01	j09	k09	i01j09	0.21866675667722127	0.7013665732390044	6	7
i01	j09	k10	i01j09	0.21866675667722127	0.4935752886421534	6	7
i01	j10	k01	i01j10	0.0	0.001	6	6
i01	j10	k02	i01j10	0.0	0.4935752886421534	6	6
i01	j10	k03	i01j10	0.0	0.4935752886421534	6	6
i01	j10	k04	i01j10	0.21866675667722127	0.7013665732390044	6	7
i01	j10	k05	i01j10	0.21866675667722127	0.7013665732390044	6	7
i01	j10	k06	i01j10	0.21866675667722127	0.4935752886421534	6	7
i01	j10	k07	i01j10	0.21866675667722127	0.4935752886421534	6	7
i01	j10	k08	i01j10	0.21866675667722127	0.4935752886421534	6	7
i01	j10	k09	i01j10	0.21866675667722127	0.7013665732390044	6	7
i01	j10	k10	i01j10	0.21866675667722127	0.4935752886421534	6	7
i02	j01	k01	i02j01	0.9649454688235423	0.7013665732390044	1	6
i02	j01	k02	i02j01	0.9649454688235423	0.8626563100093985	1	6
i02	j01	k03	i02j01	0.9649454688235423	0.8626563100093985	1	6
i02	j01	k04	i02j01	0.9741982523623018	0.9218064474828315	1	7
i02	j01	k05	i02j01	0.9741982523623018	0.9218064474828315	1	7
i02	j01	k06	i02j01	0.9741982523623018	0.8626563100093985	1	7
i02	j01	k07	i02j01	0.9741982523623018	0.8626563100093985	1	7
i02	j01	k08	i02j01	0.9741982523623018	0.8626563100093985	1	7
i02	j01	k09	i02j01	0.9741982523623018	0.9218064474828315	1	7
i02	j01	k10	i02j01	0.9741982523623018	0.8626563100093985	1	7
i02	j02	k01	i02j02	1.0	1.0	0	6
i02	j02	k02	i02j02	1.0	1.0	0	6
i02	j02	k03	i02j02	1.0	1.0	0	6
i02	j02	k04	i02j02	1.0	1.0	0	7
i02	j02	k05	i02j02	1.0	1.0	0	7
i02	j02	k06	i02j02	1.0	1.0	0	7
i02	j02	k07	i02j02	1.0	1.0	0	7
i02	j02	k08	i02j02	1.0	1.0	0	7
i02	j02	k09	i02j02	1.0	1.0	0	7
i02	j02	k10	i02j02	1.0	1.0	0	7
i02	j03	k01	i02j03	0.9649454688235423	0.001	1	6
i02	j03	k02	i02j03	0.9649454688235423	0.4935752886421534	1	6
i02	j03	k03	i02j03	0.9649454688235423	0.4935752886421534	1	6
i02	j03	k04	i02j03	0.9741982523623018	0.7013665732390044	1	7
i02	j03	k05	i02j03	0.9741982523623018	0.7013665732390044	1	7
i02	j03	k06	i02j03	0.9741982523623018	0.4935752886421534	1	7
i02	j03	k07	i02j03	0.9741982523623018	0.4935752886421534	1	7
i02	j03	k08	i02j03	0.9741982523623018	0.4935752886421534	1	7
i02	j03	k09	i02j03	0.9741982523623018	0.7013665732390044	1	7
i02	j03	k10	i02j03	0.9741982523623018	0.4935752886421534	1	7
i02	j04	k01	i02j04	0.8626563100093985	0.001	2	6
i02	j04	k02	i02j04	0.8626563100093985	0.4935752886421534	2	6
i02	j04	k03	i02j04	0.8626563100093985	0.4935752886421534	2	6
i02	j04	k04	i02j04	0.8983540656933711	0.7013665732390044	2	7
i02	j04	k05	i02j04	0.8983540656933711	0.7013665732390044	2	7
i02	j04	k06	i02j04	0.8983540656933711	0.4935752886421534	2	7
i02	j04	k07	i02j04	0.8983540656933711	0.4935752886421534	2	7
i02	j04	k08	i02j04	0.8983540656933711	0.4935752886421534	2	7
i02	j04	k09	i02j04	0.8983540656933711	0.7013665732390044	2	7
i02	j04	k10	i02j04	0.8983540656933711	0.4935752886421534	2	7
i02	j05	k01	i02j05	0.4935752886421534	0.7013665732390044	4	6
i02	j05	k02	i02j05	0.4935752886421534	0.8626563100093985	4	6
i02	j05	k03	i02j05	0.4935752886421534	0.8626563100093985	4	6
i02	j05	k04	i02j05	0.6171641141806035	0.9218064474828315	4	7
i02	j05	k05	i02j05	0.6171641141806035	0.9218064474828315	4	7
i02	j05	k06	i02j05	0.6171641141806035	0.8626563100093985	4	7
i02	j05	k07	i02j05	0.6171641141806035	0.8626563100093985	4	7
i02	j05	k08	i02j05	0.6171641141806035	0.8626563100093985	4	7
i02	j05	k09	i02j05	0.6171641141806035	0.9218064474828315	4	7
i02	j05	k10	i02j05	0.6171641141806035	0.8626563100093985	4	7
i02	j06	k01	i02j06	0.2544483340734067	0.7013665732390044	5	6
i02	j06	k02	i02j06	0.2544483340734067	0.8626563100093985	5	6
i02	j06	k03	i02j06	0.2544483340734067	0.8626563100093985	5	6
i02	j06	k04	i02j06	0.4277506578980072	0.9218064474828315	5	7
i02	j06	k05	i02j06	0.4277506578980072	0.9218064474828315	5	7
i02	j06	k06	i02j06	0.4277506578980072	0.8626563100093985	5	7
i02	j06	k07	i02j06	0.4277506578980072	0.8626563100093985	5	7
i02	j06	k08	i02j06	0.4277506578980072	0.8626563100093985	5	7
i02	j06	k09	i02j06	0.4277506578980072	0.9218064474828315	5	7
i02	j06	k10	i02j06	0.4277506578980072	0.8626563100093985	5	7
i02	j07	k01	i02j07	0.0	0.001	6	6
i02	j07	k02	i02j07	0.0	0.001	6	6
i02	j07	k03	i02j07	0.0	0.001	6	6
i02	j07	k04	i02j07	0.21866675667722127	0.3769262991826959	6	7
i02	j07	k05	i02j07	0.21866675667722127	0.3769262991826959	6	7
i02	j07	k06	i02j07	0.21866675667722127	0.001	6	7
i02	j07	k07	i02j07	0.21866675667722127	0.001	6	7
i02	j07	k08	i02j07	0.21866675667722127	0.001	6	7
i02	j07	k09	i02j07	0.21866675667722127	0.3769262991826959	6	7
i02	j07	k10	i02j07	0.21866675667722127	0.001	6	7
i02	j08	k01	i02j08	0.0	0.001	6	6
i02	j08	k02	i02j08	0.0	0.001	6	6
i02	j08	k03	i02j08	0.0	0.001	6	6
i02	j08	k04	i02j08	0.21866675667722127	0.3769262991826959	6	7
i02	j08	k05	i02j08	0.21866675667722127	0.3769262991826959	6	7
i02	j08	k06	i02j08	0.21866675667722127	0.001	6	7
i02	j08	k07	i02j08	0.21866675667722127	0.001	6	7
i02	j08	k08	i02j08	0.21866675667722127	0.001	6	7
i02	j08	k09	i02j08	0.21866675667722127	0.3769262991826959	6	7
i02	j08	k10	i02j08	0.21866675667722127	0.001	6	7
i02	j09	k01	i02j09	0.0	0.001	6	6
i02	j09	k02	i02j09	0.0	0.001	6	6
i02	j09	k03	i02j09	0.0	0.001	6	6
i02	j09	k04	i02j09	0.21866675667722127	0.3769262991826959	6	7
i02	j09	k05	i02j09	0.21866675667722127	0.3769262991826959	6	7
i02	j09	k06	i02j09	0.21866675667722127	0.001	6	7
i02	j09	k07	i02j09	0.21866675667722127	0.001	6	7
i02	j09	k08	i02j09	0.21866675667722127	0.001	6	7
i02	j09	k09	i02j09	0.21866675667722127	0.3769262991826959	6	7
i02	j09	k10	i02j09	0.21866675667722127	0.001	6	7
i02	j10	k01	i02j10	0.0	0.001	6	6
i02	j10	k02	i02j10	0.0	0.001	6	6
i02	j10	k03	i02j10	0.0	0.001	6	6
i02	j10	k04	i02j10	0.21866675667722127	0.3769262991826959	6	7
i02	j10	k05	i02j10	0.21866675667722127	0.3769262991826959	6	7
i02	j10	k06	i02j10	0.21866675667722127	0.001	6	7
i02	j10	k07	i02j10	0.21866675667722127	0.001	6	7
i02	j10	k08	i02j10	0.21866675667722127	0.001	6	7
i02	j10	k09	i02j10	0.21866675667722127	0.3769262991826959	6	7
i02	j10	k10	i02j10	0.21866675667722127	0.001	6	7
i03	j01	k01	i03j01	0.8626563100093985	0.7013665732390044	2	6
i03	j01	k02	i03j01	0.8626563100093985	0.8626563100093985	2	6
i03	j01	k03	i03j01	0.8626563100093985	0.8626563100093985	2	6
i03	j01	k04	i03j01	0.8983540656933711	0.9218064474828315	2	7
i03	j01	k05	i03j01	0.8983540656933711	0.9218064474828315	2	7
i03	j01	k06	i03j01	0.8983540656933711	0.8626563100093985	2	7
i03	j01	k07	i03j01	0.8983540656933711	0.8626563100093985	2	7
i03	j01	k08	i03j01	0.8983540656933711	0.8626563100093985	2	7
i03	j01	k09	i03j01	0.8983540656933711	0.9218064474828315	2	7
i03	j01	k10	i03j01	0.8983540656933711	0.8626563100093985	2	7
i03	j02	k01	i03j02	0.9649454688235423	0.001	1	6
i03	j02	k02	i03j02	0.9649454688235423	0.4935752886421534	1	6
i03	j02	k03	i03j02	0.9649454688235423	0.4935752886421534	1	6
i03	j02	k04	i03j02	0.9741982523623018	0.7013665732390044	1	7
i03	j02	k05	i03j02	0.9741982523623018	0.7013665732390044	1	7
i03	j02	k06	i03j02	0.9741982523623018	0.4935752886421534	1	7
i03	j02	k07	i03j02	0.9741982523623018	0.4935752886421534	1	7
i03	j02	k08	i03j02	0.9741982523623018	0.4935752886421534	1	7
i03	j02	k09	i03j02	0.9741982523623018	0.7013665732390044	1	7
i03	j02	k10	i03j02	0.9741982523623018	0.4935752886421534	1	7
i03	j03	k01	i03j03	1.0	1.0	0	6
i03	j03	k02	i03j03	1.0	1.0	0	6
i03	j03	k03	i03j03	1.0	1.0	0	6
i03	j03	k04	i03j03	1.0	1.0	0	7
i03	j03	k05	i03j03	1.0	1.0	0	7
i03	j03	k06	i03j03	1.0	1.0	0	7
i03	j03	k07	i03j03	1.0	1.0	0	7
i03	j03	k08	i03j03	1.0	1.0	0	7
i03	j03	k09	i03j03	1.0	1.0	0	7
i03	j03	k10	i03j03	1.0	1.0	0	7
i03	j04	k01	i03j04	0.9649454688235423	0.001	1	6
i03	j04	k02	i03j04	0.9649454688235423	0.4935752886421534	1	6
i03	j04	k03	i03j04	0.9649454688235423	0.4935752886421534	1	6
i03	j04	k04	i03j04	0.9741982523623018	0.7013665732390044	1	7
i03	j04	k05	i03j04	0.9741982523623018	0.7013665732390044	1	7
i03	j04	k06	i03j04	0.9741982523623018	0.4935752886421534	1	7
i03	j04	k07	i03j04	0.9741982523623018	0.4935752886421534	1	7
i03	j04	k08	i03j04	0.9741982523623018	0.4935752886421534	1	7
i03	j04	k09	i03j04	0.9741982523623018	0.7013665732390044	1	7
i03	j04	k10	i03j04	0.9741982523623018	0.4935752886421534	1	7
i03	j05	k01	i03j05	0.4935752886421534	0.001	4	6
i03	j05	k02	i03j05	0.4935752886421534	0.001	4	6
i03	j05	k03	i03j05	0.4935752886421534	0.001	4	6
i03	j05	k04	i03j05	0.6171641141806035	0.3769262991826959	4	7
i03	j05	k05	i03j05	0.6171641141806035	0.3769262991826959	4	7
i03	j05	k06	i03j05	0.6171641141806035	0.001	4	7
i03	j05	k07	i03j05	0.6171641141806035	0.001	4	7
i03	j05	k08	i03j05	0.6171641141806035	0.001	4	7
i03	j05	k09	i03j05	0.6171641141806035	0.3769262991826959	4	7
i03	j05	k10	i03j05	0.6171641141806035	0.001	4	7
i03	j06	k01	i03j06	0.2544483340734067	0.001	5	6
i03	j06	k02	i03j06	0.2544483340734067	0.001	5	6
i03	j06	k03	i03j06	0.2544483340734067	0.001	5	6
i03	j06	k04	i03j06	0.4277506578980072	0.3769262991826959	5	7
i03	j06	k05	i03j06	0.4277506578980072	0.3769262991826959	5	7
i03	j06	k06	i03j06	0.4277506578980072	0.001	5	7
i03	j06	k07	i03j06	0.4277506578980072	0.001	5	7
i03	j06	k08	i03j06	0.4277506578980072	0.001	5	7
i03	j06	k09	i03j06	0.4277506578980072	0.3769262991826959	5	7
i03	j06	k10	i03j06	0.4277506578980072	0.001	5	7
i03	j07	k01	i03j07	0.0	0.7013665732390044	6	6
i03	j07	k02	i03j07	0.0	0.8626563100093985	6	6
i03	j07	k03	i03j07	0.0	0.8626563100093985	6	6
i03	j07	k04	i03j07	0.21866675667722127	0.9218064474828315	6	7
i03	j07	k05	i03j07	0.21866675667722127	0.9218064474828315	6	7
i03	j07	k06	i03j07	0.21866675667722127	0.8626563100093985	6	7
i03	j07	k07	i03j07	0.21866675667722127	0.8626563100093985	6	7
i03	j07	k08	i03j07	0.21866675667722127	0.8626563100093985	6	7
i03	j07	k09	i03j07	0.21866675667722127	0.9218064474828315	6	7
i03	j07	k10	i03j07	0.21866675667722127	0.8626563100093985	6	7
i03	j08	k01	i03j08	0.0	0.7013665732390044	6	6
i03	j08	k02	i03j08	0.0	0.8626563100093985	6	6
i03	j08	k03	i03j08	0.0	0.8626563100093985	6	6
i03	j08	k04	i03j08	0.21866675667722127	0.9218064474828315	6	7
