# df_oferta
nombre_J	ubicacionesJ_x	ubicacionesJ_y
j01	10	10
j02	12	12
j03	8	12
j04	10	8
j05	11	14
j06	14	12
j07	6	14
j08	6	12
j09	8	6
j10	12	6

# df_niveles
servicio_K	Servicio	sigma_max	d_o_k
k01	Consulta general diagnóstico	100	5
k02	Mamografía y ecografía	90	5
k03	Consulta especializada	90	5
k04	Biopsia diagnóstico	90	5
k05	Patología diagnóstico	80	5
k06	Quimioterapia	80	5
k07	Radioterapia	80	5
k08	Hormonal	80	5
k09	Cirugía	50	5
k10	Cuidados paliativos	50	5

# df_demanda
nombre_I	servicio_K	ubicacionesI_x	ubicacionesI_y	demanda_i
i01	k01	10	10	15
i02	k01	12	12	15
i03	k01	8	12	15
i04	k01	10	8	5
i05	k01	11	14	3
i06	k01	14	12	3
i07	k01	6	14	3
i08	k01	6	12	3
i09	k01	8	6	3
i10	k01	12	6	3
i11	k01	8	10	3
i12	k01	12	10	3
i13	k01	10	14	3
i14	k01	16	14	3
i15	k01	10	4	3
i16	k01	4	14	3

# df_sigma_max
servicio_K	sigma_max
k01	100
k02	90
k03	90
k04	90
k05	80
k06	80
k07	80
k08	80
k09	50
k10	50

# df_capac
nombre_J	servicio_K	s_jk	sigma_jk	c_jk	s_jk*c_jk
i02	j06	k05	0.921806447
i03	j06	k05	0.376926299
i04	j06	k05	0.376926299
i05	j06	k05	0.701366573
i06	j06	k05	1
i07	j06	k05	0.001
i08	j06	k05	0.001
i09	j06	k05	0.001
i10	j06	k05	0.001
i11	j06	k05	0.001
i12	j06	k05	0.701366573
i13	j06	k05	0.701366573
i14	j06	k05	0.921806447
i15	j06	k05	0.001
i16	j06	k05	0.001
i01	j07	k05	0.701366573
i02	j07	k05	0.376926299
i03	j07	k05	0.921806447
i04	j07	k05	0.376926299
i05	j07	k05	0.001
i06	j07	k05	0.001
i07	j07	k05	1
i08	j07	k05	0.701366573
i09	j07	k05	0.001
i10	j07	k05	0.001
i11	j07	k05	0.701366573
i12	j07	k05	0.001
i13	j07	k05	0.701366573
i14	j07	k05	0.001
i15	j07	k05	0.001
i16	j07	k05	0.921806447
i01	j08	k05	0.701366573
i02	j08	k05	0.376926299
i03	j08	k05	0.921806447
i04	j08	k05	0.376926299
i05	j08	k05	0.001
i06	j08	k05	0.001
i07	j08	k05	0.701366573
i08	j08	k05	1
i09	j08	k05	0.001
i10	j08	k05	0.001
i11	j08	k05	0.701366573
i12	j08	k05	0.001
i13	j08	k05	0.701366573
i14	j08	k05	0.001
i15	j08	k05	0.001
i16	j08	k05	0.921806447
i01	j09	k05	0.701366573
i02	j09	k05	0.376926299
i03	j09	k05	0.376926299
i04	j09	k05	0.921806447
i05	j09	k05	0.001
i06	j09	k05	0.001
i07	j09	k05	0.001
i08	j09	k05	0.001
i09	j09	k05	1
i10	j09	k05	0.701366573
i11	j09	k05	0.701366573
i12	j09	k05	0.701366573
i13	j09	k05	0.001
i14	j09	k05	0.001
i15	j09	k05	0.921806447
i16	j09	k05	0.001
i01	j10	k05	0.701366573
i02	j10	k05	0.376926299
i03	j10	k05	0.376926299
i04	j10	k05	0.921806447
i05	j10	k05	0.001
i06	j10	k05	0.001
i07	j10	k05	0.001
i08	j10	k05	0.001
i09	j10	k05	0.701366573
i10	j10	k05	1
i11	j10	k05	0.701366573
i12	j10	k05	0.701366573
i13	j10	k05	0.001
i14	j10	k05	0.001
i15	j10	k05	0.921806447
i16	j10	k05	0.001
i01	j01	k06	1
i02	j01	k06	0.86265631
i03	j01	k06	0.86265631
i04	j01	k06	0.86265631
i05	j01	k06	0.493575289
i06	j01	k06	0.493575289
i07	j01	k06	0.493575289
i08	j01	k06	0.493575289
i09	j01	k06	0.493575289
i10	j01	k06	0.493575289
i11	j01	k06	0.493575289
i12	j01	k06	0.493575289
i13	j01	k06	0.493575289
i14	j01	k06	0.001
